model,accuracy,precision,recall,f1,auc
RandomForest,1.0,1.0,1.0,1.0,1.0
DecisionTree,0.9853658536585366,1.0,0.9714285714285714,0.9855072463768116,0.9857142857142858
SVM,0.926829268292683,0.9166666666666666,0.9428571428571428,0.9295774647887324,0.9771428571428571
LogisticRegression,0.8097560975609757,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.9298095238095239
